"nome","resumo","coordenador"
"ANATOMIA APLICADA À EDUCAÇÃO FÍSICA I","Em breve este conteúdo estará disponível.","Afonso Moniz De Aragão "
"ANATOMIA APLICADA À EDUCAÇÃO FÍSICA II","Em breve este conteúdo estará disponível.","Afonso Moniz De Aragão "
"O CORPO COMO PRÁTICA PEDAGÓGICA: UM DIÁLOGO ENTRE RIO DE JANEIRO (BRASIL) E AUGSBURG (ALEMANHA)","Em breve este conteúdo estará disponível.","Ana Patricia Da Silva "
"CORPO CONSCIENTE PRÁTICA PEDAGÓGICA E EDUCAÇÃO LIBERTADORA","Em breve este conteúdo estará disponível.","Ana Patricia Da Silva "
"MONITORIA EM GINÁSTICA","Em breve este conteúdo estará disponível.","Daniel Das Virgens Chagas "
"ESTÁGIO SUPERVISIONADO EM EXERCÍCIOS FÍSICOS PARA PROMOÇÃO DA SAÚDE EM IDOSOS","Em breve este conteúdo estará disponível.","Flávia Porto Melo Ferreira "
"EXERCÍCIOS FÍSICOS ONLINE PARA IDOSOS - UMA PROPOSTA DE ESTÁGIO SUPERVISIONADO","Em breve este conteúdo estará disponível.","Flávia Porto Melo Ferreira "
"MOVIMENTANDO-SE PARA PREVENIR QUEDAS - ESTÁGIO SUPERVISIONADO COM IDOSOS","Em breve este conteúdo estará disponível.","Flávia Porto Melo Ferreira "
"PROGRAMA DE REABILITAÇÃO CARDIOVASCULAR DO HOSPITAL UNIVERSITÁRIO PEDRO ERNESTO","Em breve este conteúdo estará disponível.","Guilherme De Oliveira França "
"PROGRAMA DE REABILITAÇÃO CARDIOVASCULAR DO HOSPITAL UNIVERSITÁRIO PEDRO ERNESTO","Em breve este conteúdo estará disponível.","Guilherme De Oliveira França "
"PRÁTICAS METODOLÓGICAS DO DESPORTO INDIVIDUAL IV","Em breve este conteúdo estará disponível.","Iedda De Almeida Brasil "
"NÚCLEO DE INICIAÇÃO AO JUDÔ DA UERJ","Em breve este conteúdo estará disponível.","Iedda De Almeida Brasil "
"O ESTÁGIO SUPERVISIONADO ENQUANTO LÓCUS DA FORMAÇÃO DOCENTE: POSSIBILIDADES PARA A EDUCAÇÃO FÍSICA","Em breve este conteúdo estará disponível.","Janaína Da Silva Ferreira "
"ATIVIDADES FÍSICAS E ESPORTIVAS E A EDUCAÇÃO EMOCIONAL","Em breve este conteúdo estará disponível.","Jose Antonio Vianna "
"VIVÊNCIA PEDAGÓGICA NO ATENDIMENTO AO PACIENTE C/ DR E MULTIMORBIDADE C/ BASE NA E.F. TERAPÊUTICA","Em breve este conteúdo estará disponível.","Joyce Ferreira Carvalho "
"ATENDIMENTO AO PACIENTE COM DOENÇAS RARAS E MULTIMORBIDADE COM BASE NA EDUCAÇÃO FÍSICA TERAPÊUTICA","Em breve este conteúdo estará disponível.","Joyce Ferreira Carvalho "
"CAPACITAÇÃO PROFISSIONAL PARA SUPERVISÃO DE TREINAMENTO FÍSICO PARA PESSOAS VIVENDO COM HIV","Em breve este conteúdo estará disponível.","Juliana Pereira Borges "
"NATAÇÃO + SEGURA COM CONTEÚDOS: ATITUDINAL PROCEDIMENTAL E CONCEITUAL","Em breve este conteúdo estará disponível.","Marcelo Barros De Vasconcellos "
"NATAÇÃO + SEGURA COM CONTEÚDOS - ATITUDINAL PROCEDIMENTAL E CONCEITUAL","Em breve este conteúdo estará disponível.","Marcelo Barros De Vasconcellos "
"EDUCAÇÃO FÍSICA E GERONTOLOGIA","Em breve este conteúdo estará disponível.","Nádia Souza Lima Da Silva "
"CINENATROPOMETRIA NA EDUCAÇÃO FÍSICA (IEFD 04-09439)","Em breve este conteúdo estará disponível.","Paulo Sergio Chagas Gomes "
"ESTATÍSTICA APLICADA À EDUCAÇÃO FÍSICA (IEFD 04-09436)","Em breve este conteúdo estará disponível.","Paulo Sergio Chagas Gomes "
"INTEGRAÇÃO DAS AULAS PRÁTICAS DE FISIOLOGIA DO EXERCÍCIO COM AÇÕES DE SAÚDE REALIZADAS NO HUPE","Em breve este conteúdo estará disponível.","Pedro Guimarães Coscarelli "
"MONITORIA EM INFORMÁTICA APLICADA À PESQUISA EM EDUCAÇÃO FÍSICA","Em breve este conteúdo estará disponível.","Rafael Da Silva Mattos "
"ESTUDOS DE ÉTICA E BIOÉTICA NA EDUCAÇÃO FÍSICA","Em breve este conteúdo estará disponível.","Rafael Da Silva Mattos "
"MULHERES PROFESSORAS DE EDUCAÇÃO FÍSICA - DUPLA JORNADA CARREIRA NA EDUCAÇÃO BÁSICA E MATERNIDADE","Em breve este conteúdo estará disponível.","Rafael Da Silva Mattos "
"MONITORIA DISCIPLINA PRÁTICA MEDODOLÓGICA DESPORTO INDIVIDUAL NATAÇÃO LICENCIATURA E BACHARELADO","Em breve este conteúdo estará disponível.","Ricardo Cabral "
"O PROCESSO DE REMOTIZAÇÃO EM EDUCAÇÃO FÍSICA NO INSTITUTO DE EDUCAÇÃO FÍSICA E DESPORTOS NA PANDEMIA","Em breve este conteúdo estará disponível.","Silvio De Cassio Costa Telles "
"FAIR PLAY: RETRATANDO VALORES INCORPORADOS","Em breve este conteúdo estará disponível.","Wecisley Ribeiro Do Espirito Santo "
